,132599:305444,132572:305446,132640:304824,132627:305802,132600:305390,132573:305268,132634:305987,132633:304953,132601:305396,132574:305606,132637:304769,132630:305861,132602:304705,132575:306017,132635:305997,132631:305073,132603:305962,132576:304759,132638:305186,132629:304709,132604:304949,132577:305420,132632:305285,132636:306062,132605:305784,132578:304886,132639:305583,132628:305914,132606:304713,132579:306050,132607:304833,132580:304918,132608:305984,132581:304823,132609:305640,132582:305973,132610:305723,132583:305916,132611:305018,132584:305940,132612:304928,132585:304694,132613:304662,132586:305967,132614:305893,132587:304892,132615:305827,132588:305432,132616:305289,132589:305859,132617:305874,132590:304861,132591:305031,132618:305719,132619:306028,132641:305923,132620:304896,132592:305267,132642:305400,132621:304796,132593:306025,132622:305521,132594:305487,132623:305501,132595:305330,132624:305288,132596:305910,132625:305211,132597:305021,132626:305852,132598:305007
City Hall Terminal,8:19 AM,8:20 AM,8:39 AM,8:40 AM,8:59 AM,9:00 AM,9:19 AM,9:20 AM,9:39 AM,9:40 AM,9:59 AM,10:00 AM,10:19 AM,10:20 AM,10:39 AM,10:40 AM,10:59 AM,11:00 AM,11:19 AM,11:20 AM,11:41 AM,11:43 AM,12:05 PM,12:04 PM,12:26 PM,12:28 PM,12:49 PM,12:50 PM,1:11 PM,1:13 PM,1:34 PM,1:36 PM,1:56 PM,1:58 PM,2:19 PM,2:21 PM,2:41 PM,2:43 PM,3:04 PM,3:06 PM,3:26 PM,3:28 PM,3:49 PM,3:51 PM,4:11 PM,4:13 PM,4:34 PM,4:36 PM,4:56 PM,4:58 PM,5:20 PM,5:20 PM,5:41 PM,5:42 PM,6:04 PM,6:05 PM,6:25 PM,6:25 PM,6:49 PM,7:10 PM,7:10 PM,7:55 PM,7:55 PM,8:40 PM,8:40 PM,9:25 PM,9:25 PM,10:10 PM,10:10 PM,10:48 PM,10:55 PM
May & George,8:19 AM,8:20 AM,8:39 AM,8:40 AM,8:59 AM,9:00 AM,9:19 AM,9:20 AM,9:39 AM,9:40 AM,9:59 AM,10:00 AM,10:19 AM,10:20 AM,10:39 AM,10:40 AM,10:59 AM,11:00 AM,11:19 AM,11:20 AM,11:41 AM,11:43 AM,12:05 PM,12:04 PM,12:26 PM,12:28 PM,12:49 PM,12:50 PM,1:11 PM,1:13 PM,1:34 PM,1:36 PM,1:56 PM,1:58 PM,2:19 PM,2:21 PM,2:41 PM,2:43 PM,3:04 PM,3:06 PM,3:26 PM,3:28 PM,3:49 PM,3:51 PM,4:11 PM,4:13 PM,4:34 PM,4:36 PM,4:56 PM,4:58 PM,5:20 PM,5:20 PM,5:41 PM,5:42 PM,6:04 PM,6:05 PM,6:25 PM,6:25 PM,6:49 PM,7:10 PM,7:10 PM,7:55 PM,7:55 PM,8:40 PM,8:40 PM,9:25 PM,9:25 PM,10:10 PM,10:10 PM,10:48 PM,10:55 PM
May & Leith,8:19 AM,8:20 AM,8:39 AM,8:40 AM,8:59 AM,9:00 AM,9:19 AM,9:20 AM,9:39 AM,9:40 AM,9:59 AM,10:00 AM,10:19 AM,10:20 AM,10:39 AM,10:40 AM,10:59 AM,11:00 AM,11:19 AM,11:20 AM,11:41 AM,11:43 AM,12:05 PM,12:04 PM,12:26 PM,12:28 PM,12:49 PM,12:50 PM,1:11 PM,1:13 PM,1:34 PM,1:36 PM,1:56 PM,1:58 PM,2:19 PM,2:21 PM,2:41 PM,2:43 PM,3:04 PM,3:06 PM,3:26 PM,3:28 PM,3:49 PM,3:51 PM,4:11 PM,4:13 PM,4:34 PM,4:36 PM,4:56 PM,4:58 PM,5:20 PM,5:20 PM,5:41 PM,5:42 PM,6:04 PM,6:05 PM,6:25 PM,6:25 PM,6:49 PM,7:10 PM,7:10 PM,7:55 PM,7:55 PM,8:40 PM,8:40 PM,9:25 PM,9:25 PM,10:10 PM,10:10 PM,10:48 PM,10:55 PM
May & Cameron,8:18 AM,8:21 AM,8:38 AM,8:41 AM,8:58 AM,9:01 AM,9:18 AM,9:21 AM,9:38 AM,9:41 AM,9:58 AM,10:01 AM,10:18 AM,10:21 AM,10:38 AM,10:41 AM,10:58 AM,11:01 AM,11:18 AM,11:21 AM,11:40 AM,11:44 AM,12:06 PM,12:03 PM,12:25 PM,12:29 PM,12:48 PM,12:51 PM,1:10 PM,1:14 PM,1:33 PM,1:37 PM,1:55 PM,1:59 PM,2:18 PM,2:22 PM,2:40 PM,2:44 PM,3:03 PM,3:07 PM,3:25 PM,3:29 PM,3:48 PM,3:52 PM,4:10 PM,4:14 PM,4:33 PM,4:37 PM,4:55 PM,4:59 PM,5:19 PM,5:21 PM,5:42 PM,5:41 PM,6:03 PM,6:06 PM,6:24 PM,6:26 PM,6:48 PM,7:09 PM,7:11 PM,7:54 PM,7:56 PM,8:39 PM,8:41 PM,9:24 PM,9:26 PM,10:09 PM,10:11 PM,10:47 PM,10:56 PM
May & Dease,8:18 AM,8:21 AM,8:38 AM,8:41 AM,8:58 AM,9:01 AM,9:18 AM,9:21 AM,9:38 AM,9:41 AM,9:58 AM,10:01 AM,10:18 AM,10:21 AM,10:38 AM,10:41 AM,10:58 AM,11:01 AM,11:18 AM,11:21 AM,11:40 AM,11:44 AM,12:06 PM,12:03 PM,12:25 PM,12:29 PM,12:48 PM,12:51 PM,1:10 PM,1:14 PM,1:33 PM,1:37 PM,1:55 PM,1:59 PM,2:18 PM,2:22 PM,2:40 PM,2:44 PM,3:03 PM,3:07 PM,3:25 PM,3:29 PM,3:48 PM,3:52 PM,4:10 PM,4:14 PM,4:33 PM,4:37 PM,4:55 PM,4:59 PM,5:19 PM,5:21 PM,5:42 PM,5:41 PM,6:03 PM,6:06 PM,6:24 PM,6:26 PM,6:48 PM,7:09 PM,7:11 PM,7:54 PM,7:56 PM,8:39 PM,8:41 PM,9:24 PM,9:26 PM,10:09 PM,10:11 PM,10:47 PM,10:56 PM
May & Ogden,8:16 AM,8:23 AM,8:36 AM,8:43 AM,8:56 AM,9:03 AM,9:16 AM,9:23 AM,9:36 AM,9:43 AM,9:56 AM,10:03 AM,10:16 AM,10:23 AM,10:36 AM,10:43 AM,10:56 AM,11:03 AM,11:16 AM,11:23 AM,11:38 AM,11:46 AM,12:08 PM,12:01 PM,12:23 PM,12:31 PM,12:46 PM,12:53 PM,1:08 PM,1:16 PM,1:31 PM,1:39 PM,1:53 PM,2:01 PM,2:16 PM,2:24 PM,2:38 PM,2:46 PM,3:01 PM,3:09 PM,3:23 PM,3:31 PM,3:46 PM,3:54 PM,4:08 PM,4:16 PM,4:31 PM,4:39 PM,4:53 PM,5:01 PM,5:17 PM,5:23 PM,5:44 PM,5:39 PM,6:01 PM,6:08 PM,6:22 PM,6:28 PM,6:46 PM,7:07 PM,7:13 PM,7:52 PM,7:58 PM,8:37 PM,8:43 PM,9:22 PM,9:28 PM,10:07 PM,10:13 PM,10:45 PM,10:58 PM
May & Northern,8:16 AM,8:23 AM,8:36 AM,8:43 AM,8:56 AM,9:03 AM,9:16 AM,9:23 AM,9:36 AM,9:43 AM,9:56 AM,10:03 AM,10:16 AM,10:23 AM,10:36 AM,10:43 AM,10:56 AM,11:03 AM,11:16 AM,11:23 AM,11:38 AM,11:46 AM,12:08 PM,12:01 PM,12:23 PM,12:31 PM,12:46 PM,12:53 PM,1:08 PM,1:16 PM,1:31 PM,1:39 PM,1:53 PM,2:01 PM,2:16 PM,2:24 PM,2:38 PM,2:46 PM,3:01 PM,3:09 PM,3:23 PM,3:31 PM,3:46 PM,3:54 PM,4:08 PM,4:16 PM,4:31 PM,4:39 PM,4:53 PM,5:01 PM,5:17 PM,5:23 PM,5:44 PM,5:39 PM,6:01 PM,6:08 PM,6:22 PM,6:28 PM,6:46 PM,7:07 PM,7:13 PM,7:52 PM,7:58 PM,8:37 PM,8:43 PM,9:22 PM,9:28 PM,10:07 PM,10:13 PM,10:45 PM,10:58 PM
May & William,8:15 AM,8:24 AM,8:35 AM,8:44 AM,8:55 AM,9:04 AM,9:15 AM,9:24 AM,9:35 AM,9:44 AM,9:55 AM,10:04 AM,10:15 AM,10:24 AM,10:35 AM,10:44 AM,10:55 AM,11:04 AM,11:15 AM,11:24 AM,11:37 AM,11:47 AM,12:09 PM,12:00 PM,12:22 PM,12:32 PM,12:45 PM,12:54 PM,1:07 PM,1:17 PM,1:30 PM,1:40 PM,1:52 PM,2:02 PM,2:15 PM,2:25 PM,2:37 PM,2:47 PM,3:00 PM,3:10 PM,3:22 PM,3:32 PM,3:45 PM,3:55 PM,4:07 PM,4:17 PM,4:30 PM,4:40 PM,4:52 PM,5:02 PM,5:16 PM,5:24 PM,5:45 PM,5:38 PM,6:00 PM,6:09 PM,6:21 PM,6:29 PM,6:45 PM,7:06 PM,7:14 PM,7:51 PM,7:59 PM,8:36 PM,8:44 PM,9:21 PM,9:29 PM,10:06 PM,10:14 PM,10:45 PM,10:58 PM
May & Isabel,8:15 AM,8:24 AM,8:35 AM,8:44 AM,8:55 AM,9:04 AM,9:15 AM,9:24 AM,9:35 AM,9:44 AM,9:55 AM,10:04 AM,10:15 AM,10:24 AM,10:35 AM,10:44 AM,10:55 AM,11:04 AM,11:15 AM,11:24 AM,11:37 AM,11:47 AM,12:09 PM,12:00 PM,12:22 PM,12:32 PM,12:45 PM,12:54 PM,1:07 PM,1:17 PM,1:30 PM,1:40 PM,1:52 PM,2:02 PM,2:15 PM,2:25 PM,2:37 PM,2:47 PM,3:00 PM,3:10 PM,3:22 PM,3:32 PM,3:45 PM,3:55 PM,4:07 PM,4:17 PM,4:30 PM,4:40 PM,4:52 PM,5:02 PM,5:16 PM,5:24 PM,5:45 PM,5:38 PM,6:00 PM,6:09 PM,6:21 PM,6:29 PM,6:45 PM,7:06 PM,7:14 PM,7:51 PM,7:59 PM,8:36 PM,8:44 PM,9:21 PM,9:29 PM,10:06 PM,10:14 PM,10:44 PM,10:59 PM
Memorial & Intercity Mall,8:13 AM,8:26 AM,8:33 AM,8:46 AM,8:53 AM,9:06 AM,9:13 AM,9:26 AM,9:33 AM,9:46 AM,9:53 AM,10:06 AM,10:13 AM,10:26 AM,10:33 AM,10:46 AM,10:53 AM,11:06 AM,11:13 AM,11:26 AM,11:35 AM,11:49 AM,12:11 PM,11:58 AM,12:20 PM,12:34 PM,12:43 PM,12:56 PM,1:05 PM,1:19 PM,1:28 PM,1:42 PM,1:50 PM,2:04 PM,2:13 PM,2:27 PM,2:35 PM,2:49 PM,2:58 PM,3:12 PM,3:20 PM,3:34 PM,3:43 PM,3:57 PM,4:05 PM,4:19 PM,4:28 PM,4:42 PM,4:50 PM,5:04 PM,5:14 PM,5:26 PM,5:47 PM,5:36 PM,5:58 PM,6:11 PM,6:19 PM,6:31 PM,6:43 PM,7:04 PM,7:16 PM,7:49 PM,8:01 PM,8:34 PM,8:46 PM,9:19 PM,9:31 PM,10:04 PM,10:16 PM,10:43 PM,11:00 PM
Memorial & Dunlop,8:13 AM,8:26 AM,8:33 AM,8:46 AM,8:53 AM,9:06 AM,9:13 AM,9:26 AM,9:33 AM,9:46 AM,9:53 AM,10:06 AM,10:13 AM,10:26 AM,10:33 AM,10:46 AM,10:53 AM,11:06 AM,11:13 AM,11:26 AM,11:35 AM,11:49 AM,12:11 PM,11:58 AM,12:20 PM,12:34 PM,12:43 PM,12:56 PM,1:05 PM,1:19 PM,1:28 PM,1:42 PM,1:50 PM,2:04 PM,2:13 PM,2:27 PM,2:35 PM,2:49 PM,2:58 PM,3:12 PM,3:20 PM,3:34 PM,3:43 PM,3:57 PM,4:05 PM,4:19 PM,4:28 PM,4:42 PM,4:50 PM,5:04 PM,5:14 PM,5:26 PM,5:47 PM,5:36 PM,5:58 PM,6:11 PM,6:19 PM,6:31 PM,6:43 PM,7:04 PM,7:16 PM,7:49 PM,8:01 PM,8:34 PM,8:46 PM,9:19 PM,9:31 PM,10:04 PM,10:16 PM,10:43 PM,11:00 PM
Memorial & 13th,8:12 AM,8:27 AM,8:32 AM,8:47 AM,8:52 AM,9:07 AM,9:12 AM,9:27 AM,9:32 AM,9:47 AM,9:52 AM,10:07 AM,10:12 AM,10:27 AM,10:32 AM,10:47 AM,10:52 AM,11:07 AM,11:12 AM,11:27 AM,11:34 AM,11:50 AM,12:12 PM,11:57 AM,12:19 PM,12:35 PM,12:42 PM,12:57 PM,1:04 PM,1:20 PM,1:27 PM,1:43 PM,1:49 PM,2:05 PM,2:12 PM,2:28 PM,2:34 PM,2:50 PM,2:57 PM,3:13 PM,3:19 PM,3:35 PM,3:42 PM,3:58 PM,4:04 PM,4:20 PM,4:27 PM,4:43 PM,4:49 PM,5:05 PM,5:12 PM,5:28 PM,5:49 PM,5:34 PM,5:56 PM,6:13 PM,6:17 PM,6:33 PM,6:41 PM,7:02 PM,7:18 PM,7:47 PM,8:03 PM,8:32 PM,8:48 PM,9:17 PM,9:33 PM,10:02 PM,10:18 PM,10:43 PM,11:00 PM
Memorial & 11th,8:12 AM,8:27 AM,8:32 AM,8:47 AM,8:52 AM,9:07 AM,9:12 AM,9:27 AM,9:32 AM,9:47 AM,9:52 AM,10:07 AM,10:12 AM,10:27 AM,10:32 AM,10:47 AM,10:52 AM,11:07 AM,11:12 AM,11:27 AM,11:34 AM,11:50 AM,12:12 PM,11:57 AM,12:19 PM,12:35 PM,12:42 PM,12:57 PM,1:04 PM,1:20 PM,1:27 PM,1:43 PM,1:49 PM,2:05 PM,2:12 PM,2:28 PM,2:34 PM,2:50 PM,2:57 PM,3:13 PM,3:19 PM,3:35 PM,3:42 PM,3:58 PM,4:04 PM,4:20 PM,4:27 PM,4:43 PM,4:49 PM,5:05 PM,5:12 PM,5:28 PM,5:49 PM,5:34 PM,5:56 PM,6:13 PM,6:17 PM,6:33 PM,6:41 PM,7:02 PM,7:18 PM,7:47 PM,8:03 PM,8:32 PM,8:48 PM,9:17 PM,9:33 PM,10:02 PM,10:18 PM,10:42 PM,11:01 PM
