,132599:305444,132572:305446,132640:304824,132627:305802,132600:305390,132573:305268,132634:305987,132633:304953,132601:305396,132574:305606,132637:304769,132630:305861,132602:304705,132575:306017,132635:305997,132631:305073,132603:305962,132576:304759,132638:305186,132629:304709,132604:304949,132577:305420,132632:305285,132636:306062,132605:305784,132578:304886,132639:305583,132628:305914,132606:304713,132579:306050,132607:304833,132580:304918,132608:305984,132581:304823,132609:305640,132582:305973,132610:305723,132583:305916,132611:305018,132584:305940,132612:304928,132585:304694,132613:304662,132586:305967,132614:305893,132587:304892,132615:305827,132588:305432,132616:305289,132589:305859,132617:305874,132590:304861,132591:305031,132618:305719,132619:306028,132641:305923,132620:304896,132592:305267,132642:305400,132621:304796,132593:306025,132622:305521,132594:305487,132623:305501,132595:305330,132624:305288,132596:305910,132625:305211,132597:305021,132626:305852,132598:305007
Memorial & Sixth,8:11 AM,8:28 AM,8:31 AM,8:48 AM,8:51 AM,9:08 AM,9:11 AM,9:28 AM,9:31 AM,9:48 AM,9:51 AM,10:08 AM,10:11 AM,10:28 AM,10:31 AM,10:48 AM,10:51 AM,11:08 AM,11:11 AM,11:28 AM,11:33 AM,11:51 AM,12:13 PM,11:56 AM,12:18 PM,12:36 PM,12:41 PM,12:58 PM,1:03 PM,1:21 PM,1:26 PM,1:44 PM,1:48 PM,2:06 PM,2:11 PM,2:29 PM,2:33 PM,2:51 PM,2:56 PM,3:14 PM,3:18 PM,3:36 PM,3:41 PM,3:59 PM,4:03 PM,4:21 PM,4:26 PM,4:44 PM,4:48 PM,5:06 PM,5:10 PM,5:30 PM,5:51 PM,5:32 PM,5:54 PM,6:15 PM,6:15 PM,6:35 PM,6:39 PM,7:00 PM,7:20 PM,7:45 PM,8:05 PM,8:30 PM,8:50 PM,9:15 PM,9:35 PM,10:00 PM,10:20 PM,10:42 PM,11:01 PM
Memorial & Fourth,8:10 AM,8:29 AM,8:30 AM,8:49 AM,8:50 AM,9:09 AM,9:10 AM,9:29 AM,9:30 AM,9:49 AM,9:50 AM,10:09 AM,10:10 AM,10:29 AM,10:30 AM,10:49 AM,10:50 AM,11:09 AM,11:10 AM,11:29 AM,11:32 AM,11:52 AM,12:14 PM,11:55 AM,12:17 PM,12:37 PM,12:40 PM,12:59 PM,1:02 PM,1:22 PM,1:25 PM,1:45 PM,1:47 PM,2:07 PM,2:10 PM,2:30 PM,2:32 PM,2:52 PM,2:55 PM,3:15 PM,3:17 PM,3:37 PM,3:40 PM,4:00 PM,4:02 PM,4:22 PM,4:25 PM,4:45 PM,4:47 PM,5:07 PM,5:09 PM,5:31 PM,5:52 PM,5:31 PM,5:53 PM,6:16 PM,6:14 PM,6:36 PM,6:38 PM,6:59 PM,7:21 PM,7:44 PM,8:06 PM,8:29 PM,8:51 PM,9:14 PM,9:36 PM,9:59 PM,10:21 PM,10:41 PM,11:02 PM
Memorial & Third,8:09 AM,8:30 AM,8:29 AM,8:50 AM,8:49 AM,9:10 AM,9:09 AM,9:30 AM,9:29 AM,9:50 AM,9:49 AM,10:10 AM,10:09 AM,10:30 AM,10:29 AM,10:50 AM,10:49 AM,11:10 AM,11:09 AM,11:30 AM,11:31 AM,11:53 AM,12:15 PM,11:54 AM,12:16 PM,12:38 PM,12:39 PM,1:00 PM,1:01 PM,1:23 PM,1:24 PM,1:46 PM,1:46 PM,2:08 PM,2:09 PM,2:31 PM,2:31 PM,2:53 PM,2:54 PM,3:16 PM,3:16 PM,3:38 PM,3:39 PM,4:01 PM,4:01 PM,4:23 PM,4:24 PM,4:46 PM,4:46 PM,5:08 PM,5:07 PM,5:33 PM,5:54 PM,5:29 PM,5:51 PM,6:18 PM,6:12 PM,6:38 PM,6:36 PM,6:57 PM,7:23 PM,7:42 PM,8:08 PM,8:27 PM,8:53 PM,9:12 PM,9:38 PM,9:57 PM,10:23 PM,10:40 PM,11:03 PM
Memorial & First,8:09 AM,8:30 AM,8:29 AM,8:50 AM,8:49 AM,9:10 AM,9:09 AM,9:30 AM,9:29 AM,9:50 AM,9:49 AM,10:10 AM,10:09 AM,10:30 AM,10:29 AM,10:50 AM,10:49 AM,11:10 AM,11:09 AM,11:30 AM,11:31 AM,11:53 AM,12:15 PM,11:54 AM,12:16 PM,12:38 PM,12:39 PM,1:00 PM,1:01 PM,1:23 PM,1:24 PM,1:46 PM,1:46 PM,2:08 PM,2:09 PM,2:31 PM,2:31 PM,2:53 PM,2:54 PM,3:16 PM,3:16 PM,3:38 PM,3:39 PM,4:01 PM,4:01 PM,4:23 PM,4:24 PM,4:46 PM,4:46 PM,5:08 PM,5:07 PM,5:33 PM,5:54 PM,5:29 PM,5:51 PM,6:18 PM,6:12 PM,6:38 PM,6:36 PM,6:57 PM,7:23 PM,7:42 PM,8:08 PM,8:27 PM,8:53 PM,9:12 PM,9:38 PM,9:57 PM,10:23 PM,10:40 PM,11:03 PM
Memorial & High,8:09 AM,8:30 AM,8:29 AM,8:50 AM,8:49 AM,9:10 AM,9:09 AM,9:30 AM,9:29 AM,9:50 AM,9:49 AM,10:10 AM,10:09 AM,10:30 AM,10:29 AM,10:50 AM,10:49 AM,11:10 AM,11:09 AM,11:30 AM,11:30 AM,11:54 AM,12:16 PM,11:53 AM,12:15 PM,12:39 PM,12:38 PM,1:01 PM,1:00 PM,1:24 PM,1:23 PM,1:47 PM,1:45 PM,2:09 PM,2:08 PM,2:32 PM,2:30 PM,2:54 PM,2:53 PM,3:17 PM,3:15 PM,3:39 PM,3:38 PM,4:02 PM,4:00 PM,4:24 PM,4:23 PM,4:47 PM,4:45 PM,5:09 PM,5:07 PM,5:33 PM,5:54 PM,5:29 PM,5:51 PM,6:18 PM,6:12 PM,6:38 PM,6:36 PM,6:57 PM,7:23 PM,7:42 PM,8:08 PM,8:27 PM,8:53 PM,9:12 PM,9:38 PM,9:57 PM,10:23 PM,10:40 PM,11:03 PM
Memorial & Lisgar,8:08 AM,8:31 AM,8:28 AM,8:51 AM,8:48 AM,9:11 AM,9:08 AM,9:31 AM,9:28 AM,9:51 AM,9:48 AM,10:11 AM,10:08 AM,10:31 AM,10:28 AM,10:51 AM,10:48 AM,11:11 AM,11:08 AM,11:31 AM,11:30 AM,11:54 AM,12:16 PM,11:53 AM,12:15 PM,12:39 PM,12:38 PM,1:01 PM,1:00 PM,1:24 PM,1:23 PM,1:47 PM,1:45 PM,2:09 PM,2:08 PM,2:32 PM,2:30 PM,2:54 PM,2:53 PM,3:17 PM,3:15 PM,3:39 PM,3:38 PM,4:02 PM,4:00 PM,4:24 PM,4:23 PM,4:47 PM,4:45 PM,5:09 PM,5:06 PM,5:34 PM,5:55 PM,5:28 PM,5:50 PM,6:19 PM,6:11 PM,6:39 PM,6:35 PM,6:56 PM,7:24 PM,7:41 PM,8:09 PM,8:26 PM,8:54 PM,9:11 PM,9:39 PM,9:56 PM,10:24 PM,10:40 PM,11:03 PM
Memorial & Queen,8:07 AM,8:32 AM,8:27 AM,8:52 AM,8:47 AM,9:12 AM,9:07 AM,9:32 AM,9:27 AM,9:52 AM,9:47 AM,10:12 AM,10:07 AM,10:32 AM,10:27 AM,10:52 AM,10:47 AM,11:12 AM,11:07 AM,11:32 AM,11:28 AM,11:56 AM,12:18 PM,11:51 AM,12:13 PM,12:41 PM,12:36 PM,1:03 PM,12:58 PM,1:26 PM,1:21 PM,1:49 PM,1:43 PM,2:11 PM,2:06 PM,2:34 PM,2:28 PM,2:56 PM,2:51 PM,3:19 PM,3:13 PM,3:41 PM,3:36 PM,4:04 PM,3:58 PM,4:26 PM,4:21 PM,4:49 PM,4:43 PM,5:11 PM,5:05 PM,5:35 PM,5:56 PM,5:27 PM,5:49 PM,6:20 PM,6:10 PM,6:40 PM,6:34 PM,6:55 PM,7:25 PM,7:40 PM,8:10 PM,8:25 PM,8:55 PM,9:10 PM,9:40 PM,9:55 PM,10:25 PM,10:39 PM,11:04 PM
Algoma & John,8:06 AM,8:33 AM,8:26 AM,8:53 AM,8:46 AM,9:13 AM,9:06 AM,9:33 AM,9:26 AM,9:53 AM,9:46 AM,10:13 AM,10:06 AM,10:33 AM,10:26 AM,10:53 AM,10:46 AM,11:13 AM,11:06 AM,11:33 AM,11:27 AM,11:57 AM,12:19 PM,11:50 AM,12:12 PM,12:42 PM,12:35 PM,1:04 PM,12:57 PM,1:27 PM,1:20 PM,1:50 PM,1:42 PM,2:12 PM,2:05 PM,2:35 PM,2:27 PM,2:57 PM,2:50 PM,3:20 PM,3:12 PM,3:42 PM,3:35 PM,4:05 PM,3:57 PM,4:27 PM,4:20 PM,4:50 PM,4:42 PM,5:12 PM,5:04 PM,5:36 PM,5:57 PM,5:26 PM,5:48 PM,6:21 PM,6:09 PM,6:41 PM,6:33 PM,6:54 PM,7:26 PM,7:39 PM,8:11 PM,8:24 PM,8:56 PM,9:09 PM,9:41 PM,9:54 PM,10:26 PM,10:39 PM,11:04 PM
Algoma & Cornwall,8:06 AM,8:33 AM,8:26 AM,8:53 AM,8:46 AM,9:13 AM,9:06 AM,9:33 AM,9:26 AM,9:53 AM,9:46 AM,10:13 AM,10:06 AM,10:33 AM,10:26 AM,10:53 AM,10:46 AM,11:13 AM,11:06 AM,11:33 AM,11:26 AM,11:58 AM,12:20 PM,11:49 AM,12:11 PM,12:43 PM,12:34 PM,1:05 PM,12:56 PM,1:28 PM,1:19 PM,1:51 PM,1:41 PM,2:13 PM,2:04 PM,2:36 PM,2:26 PM,2:58 PM,2:49 PM,3:21 PM,3:11 PM,3:43 PM,3:34 PM,4:06 PM,3:56 PM,4:28 PM,4:19 PM,4:51 PM,4:41 PM,5:13 PM,5:04 PM,5:36 PM,5:57 PM,5:26 PM,5:48 PM,6:21 PM,6:09 PM,6:41 PM,6:33 PM,6:54 PM,7:26 PM,7:39 PM,8:11 PM,8:24 PM,8:56 PM,9:09 PM,9:41 PM,9:54 PM,10:26 PM,10:38 PM,11:05 PM
Algoma & Bay,8:04 AM,8:35 AM,8:24 AM,8:55 AM,8:44 AM,9:15 AM,9:04 AM,9:35 AM,9:24 AM,9:55 AM,9:44 AM,10:15 AM,10:04 AM,10:35 AM,10:24 AM,10:55 AM,10:44 AM,11:15 AM,11:04 AM,11:35 AM,11:24 AM,12:00 PM,12:22 PM,11:47 AM,12:09 PM,12:45 PM,12:32 PM,1:07 PM,12:54 PM,1:30 PM,1:17 PM,1:53 PM,1:39 PM,2:15 PM,2:02 PM,2:38 PM,2:24 PM,3:00 PM,2:47 PM,3:23 PM,3:09 PM,3:45 PM,3:32 PM,4:08 PM,3:54 PM,4:30 PM,4:17 PM,4:53 PM,4:39 PM,5:15 PM,5:02 PM,5:38 PM,5:59 PM,5:24 PM,5:46 PM,6:23 PM,6:07 PM,6:43 PM,6:31 PM,6:52 PM,7:28 PM,7:37 PM,8:13 PM,8:22 PM,8:58 PM,9:07 PM,9:43 PM,9:52 PM,10:28 PM,10:37 PM,11:06 PM
Algoma & Dufferin,8:04 AM,8:35 AM,8:24 AM,8:55 AM,8:44 AM,9:15 AM,9:04 AM,9:35 AM,9:24 AM,9:55 AM,9:44 AM,10:15 AM,10:04 AM,10:35 AM,10:24 AM,10:55 AM,10:44 AM,11:15 AM,11:04 AM,11:35 AM,11:24 AM,12:00 PM,12:22 PM,11:47 AM,12:09 PM,12:45 PM,12:32 PM,1:07 PM,12:54 PM,1:30 PM,1:17 PM,1:53 PM,1:39 PM,2:15 PM,2:02 PM,2:38 PM,2:24 PM,3:00 PM,2:47 PM,3:23 PM,3:09 PM,3:45 PM,3:32 PM,4:08 PM,3:54 PM,4:30 PM,4:17 PM,4:53 PM,4:39 PM,5:15 PM,5:02 PM,5:38 PM,5:59 PM,5:24 PM,5:46 PM,6:23 PM,6:07 PM,6:43 PM,6:31 PM,6:52 PM,7:28 PM,7:37 PM,8:13 PM,8:22 PM,8:58 PM,9:07 PM,9:43 PM,9:52 PM,10:28 PM,10:37 PM,11:06 PM
Algoma & Pearl,8:04 AM,8:35 AM,8:24 AM,8:55 AM,8:44 AM,9:15 AM,9:04 AM,9:35 AM,9:24 AM,9:55 AM,9:44 AM,10:15 AM,10:04 AM,10:35 AM,10:24 AM,10:55 AM,10:44 AM,11:15 AM,11:04 AM,11:35 AM,11:24 AM,12:00 PM,12:22 PM,11:47 AM,12:09 PM,12:45 PM,12:32 PM,1:07 PM,12:54 PM,1:30 PM,1:17 PM,1:53 PM,1:39 PM,2:15 PM,2:02 PM,2:38 PM,2:24 PM,3:00 PM,2:47 PM,3:23 PM,3:09 PM,3:45 PM,3:32 PM,4:08 PM,3:54 PM,4:30 PM,4:17 PM,4:53 PM,4:39 PM,5:15 PM,5:02 PM,5:38 PM,5:59 PM,5:24 PM,5:46 PM,6:23 PM,6:07 PM,6:43 PM,6:31 PM,6:52 PM,7:28 PM,7:37 PM,8:13 PM,8:22 PM,8:58 PM,9:07 PM,9:43 PM,9:52 PM,10:28 PM,10:37 PM,11:06 PM
Waverly Library,8:03 AM,8:36 AM,8:23 AM,8:56 AM,8:43 AM,9:16 AM,9:03 AM,9:36 AM,9:23 AM,9:56 AM,9:43 AM,10:16 AM,10:03 AM,10:36 AM,10:23 AM,10:56 AM,10:43 AM,11:16 AM,11:03 AM,11:36 AM,11:23 AM,12:01 PM,12:23 PM,11:46 AM,12:08 PM,12:46 PM,12:31 PM,1:08 PM,12:53 PM,1:31 PM,1:16 PM,1:54 PM,1:38 PM,2:16 PM,2:01 PM,2:39 PM,2:23 PM,3:01 PM,2:46 PM,3:24 PM,3:08 PM,3:46 PM,3:31 PM,4:09 PM,3:53 PM,4:31 PM,4:16 PM,4:54 PM,4:38 PM,5:16 PM,5:01 PM,5:39 PM,6:00 PM,5:23 PM,5:45 PM,6:24 PM,6:06 PM,6:44 PM,6:30 PM,6:51 PM,7:29 PM,7:36 PM,8:14 PM,8:21 PM,8:59 PM,9:06 PM,9:44 PM,9:51 PM,10:29 PM,10:36 PM,11:07 PM
Red River & Court,8:02 AM,8:37 AM,8:22 AM,8:57 AM,8:42 AM,9:17 AM,9:02 AM,9:37 AM,9:22 AM,9:57 AM,9:42 AM,10:17 AM,10:02 AM,10:37 AM,10:22 AM,10:57 AM,10:42 AM,11:17 AM,11:02 AM,11:37 AM,11:22 AM,12:02 PM,12:24 PM,11:45 AM,12:07 PM,12:47 PM,12:30 PM,1:09 PM,12:52 PM,1:32 PM,1:15 PM,1:55 PM,1:37 PM,2:17 PM,2:00 PM,2:40 PM,2:22 PM,3:02 PM,2:45 PM,3:25 PM,3:07 PM,3:47 PM,3:30 PM,4:10 PM,3:52 PM,4:32 PM,4:15 PM,4:55 PM,4:37 PM,5:17 PM,5:00 PM,5:40 PM,6:01 PM,5:22 PM,5:44 PM,6:25 PM,6:05 PM,6:45 PM,6:29 PM,6:50 PM,7:30 PM,7:35 PM,8:15 PM,8:20 PM,9:00 PM,9:05 PM,9:45 PM,9:50 PM,10:30 PM,10:35 PM,11:08 PM
Camelot & Court,8:02 AM,8:37 AM,8:22 AM,8:57 AM,8:42 AM,9:17 AM,9:02 AM,9:37 AM,9:22 AM,9:57 AM,9:42 AM,10:17 AM,10:02 AM,10:37 AM,10:22 AM,10:57 AM,10:42 AM,11:17 AM,11:02 AM,11:37 AM,11:22 AM,12:02 PM,12:24 PM,11:45 AM,12:07 PM,12:47 PM,12:30 PM,1:09 PM,12:52 PM,1:32 PM,1:15 PM,1:55 PM,1:37 PM,2:17 PM,2:00 PM,2:40 PM,2:22 PM,3:02 PM,2:45 PM,3:25 PM,3:07 PM,3:47 PM,3:30 PM,4:10 PM,3:52 PM,4:32 PM,4:15 PM,4:55 PM,4:37 PM,5:17 PM,5:00 PM,5:40 PM,6:01 PM,5:22 PM,5:44 PM,6:25 PM,6:05 PM,6:45 PM,6:29 PM,6:50 PM,7:30 PM,7:35 PM,8:15 PM,8:20 PM,9:00 PM,9:05 PM,9:45 PM,9:50 PM,10:30 PM,10:35 PM,11:08 PM
Waterfront Terminal,8:00 AM,8:39 AM,8:20 AM,8:59 AM,8:40 AM,9:19 AM,9:00 AM,9:39 AM,9:20 AM,9:59 AM,9:40 AM,10:19 AM,10:00 AM,10:39 AM,10:20 AM,10:59 AM,10:40 AM,11:19 AM,11:00 AM,11:39 AM,11:20 AM,12:04 PM,12:26 PM,11:43 AM,12:05 PM,12:49 PM,12:28 PM,1:11 PM,12:50 PM,1:34 PM,1:13 PM,1:57 PM,1:35 PM,2:19 PM,1:58 PM,2:42 PM,2:20 PM,3:04 PM,2:43 PM,3:27 PM,3:05 PM,3:49 PM,3:28 PM,4:12 PM,3:50 PM,4:34 PM,4:13 PM,4:57 PM,4:35 PM,5:19 PM,4:58 PM,5:42 PM,6:03 PM,5:20 PM,5:42 PM,6:27 PM,6:03 PM,6:47 PM,6:27 PM,6:48 PM,7:32 PM,7:33 PM,8:17 PM,8:18 PM,9:02 PM,9:03 PM,9:47 PM,9:48 PM,10:32 PM,10:33 PM,11:10 PM
